gene	0h_AL	1h_AL	1h_FAST	3h_AL	3h_FAST	4h_RF	6h_AL	6h_FAST	12h_AL	12h_FAST	24h_AL	24h_FAST
Arhgef2	39.87519283195313	40.271098711358775	10.096842099754962	39.024649315109414	32.61422710805293	19.35418690029962	30.426719468260153	22.001500146446524	11.297302896312868	15.842486163328003	28.41308818449705	25.773383375477668
Arhgef25	297.8252078087656	399.2813529763229	431.5700301306556	367.7136601605966	205.2161353504956	410.7487317684462	441.17356374961065	342.38308088739467	388.1797098908447	255.50391678470316	383.19884191486574	234.55089958171408
Arhgef26	35.827309979704744	31.242068615260184	29.61524293736946	35.77927556475228	35.45284124274368	25.862317944990604	37.533888319770135	47.04241100797837	29.08649537158827	33.9691950599558	26.227501282095425	34.88623467296688
Arhgef28	0.1877426181605763	0.168609188097789	0.27303999401131285	0.44101933911689645	0.6822892765293844	0.17230495613092142	0.11541400984960504	0.3674739613839384	0.1728531501355611	0.31191232640181193	0.2664446214048379	0.19926562302716488
Arhgef3	4.938194723633096	4.498139927563295	3.353706952675032	4.790910004756271	3.747559335723545	1.8388361785990106	3.9874390873700345	3.2377008386373625	3.456683567193135	4.066229260824457	3.968054058995509	4.035226635161977
Arhgef33	41.01729106756864	42.45848330232151	40.15215336271393	38.14370477891839	34.13469300966614	42.438817798831096	40.17184200273108	41.30716959476879	36.68292613202125	41.16441647437554	35.41710742888721	37.93813377727749
Arhgef37	52.7550656330903	42.24189399728752	37.63000757879825	36.27417087556057	44.49263095732578	5.365038588157272	42.73617540789556	15.332747443093329	16.633918805987143	6.3274414170443976	31.07007671536435	12.3571483697887
Arhgef38	0.5183848763673774	0.3694205368258865	0.4744656197159696	0.6309144782013163	0.3399526468155084	1.3874547914787008	0.25602516306349504	0.29939281505841586	0.343595960806625	0.39698353794506874	0.24315958753582084	0.12057382513307682
Arhgef39	676.770214183395	607.9469280595608	897.0376588800257	714.6016289347555	748.7168719489432	846.5468056726525	533.17300699903706	908.8477223737663	960.3052955989364	1099.256358708056	753.4066453882951	680.9806524421549
Arhgef4	86.44047335925639	90.68709715399464	115.43105547278994	119.90867746003046	81.5324769214035	130.05051423201863	102.70225068124803	109.5727771107601	144.18198109033642	142.0016941540085	95.24607116949409	96.7129333795033
Arhgef40	768.0331784189301	800.3560882076698	957.0218047302994	909.1049602058363	1141.1080454716475	1356.9524240257936	743.6558836584724	1152.954428367536	965.7370352026929	1342.533360650399	866.9471947941983	989.0500003460911
Arhgef5	3.7764688369164783	5.4819653164393545	1.4340395417682954	1.6367475941185388	2.767292810800996	1.6574640736039303	3.2524636709116974	1.548751716626419	0.8016497579150864	0.6413023921613803	3.6204767035506795	1.8277563103392713
Arhgef6	2.535580220708407	5.446304138695311	0.528977013168826	3.4591309325587094	0.49541512837342067	0	2.713964456590771	3.7190250645049265	0.7673574559522174	0.19891759439592271	5.3506612546304515	2.1076429769126612
Arhgef7	33.45346098395075	18.17842667149332	12.3410080806528	17.244870177044337	20.824312381592822	6.262966010511414	17.310649878592653	14.462370009262647	6.19846256782719	3.9334113369571044	25.775680286449496	13.36019041034226
Arhgef9	4.660503902886104	3.845931600975069	1.7485352016679312	2.738313559558052	2.3688171795114066	3.4860911144658964	2.0901408487458677	1.809606536573444	2.6899034903837498	1.132809652286092	5.409990550081924	2.9371969618400513
Arid1a	9.209357175312592	8.305124768541775	6.516494724425664	7.779974602272526	7.7256018780805915	6.193108692632143	5.572133610766316	5.703436271905094	4.383565223323947	4.245445756550362	5.986272021054588	8.454844591867797
Arid1b	17.5334023899386	11.423260232177855	6.840019653951036	10.896572559125653	13.274858314477937	5.496878927314625	12.62019146108533	7.669201060838344	6.123809884423398	3.6021377665298573	14.796119324309101	7.650950660417463
Arid2	50.53748296850133	54.38321592889859	53.726869716860236	70.43590184047048	43.81353655814655	40.234241685475794	30.09647509883697	57.74938611552588	41.53952303430213	42.1462807030159	38.41945963725671	55.18678286509358
Arid3a	2.987027506595541	1.62431387538442	0.4737924659191055	5.431609792532089	2.3759624425696435	2.785666831798405	0.9313042211604085	1.6847322453307414	0.18780779212329982	2.655499136577341	1.5267474516713995	4.570489898390436
Arid3b	0.6857417994902071	0.2587991643342702	0	1.475636229200862	0.7747153642521342	0	0.25154821968084534	1.2584456350566369	0.740209494833705	0.6669637148302295	0.7477588525993013	0.24503557892034547
Arid3c	0	1.397905702167847	0	1.8578585328645663	0.7591066516034572	5.535055769142773	0.6608857198312734	2.034846987630281	0.7996494704985391	0.1803527816527455	0	0.8123041949134446
Arid4a	11.677623465189152	7.76004778520652	6.531035835349607	6.666961562163647	9.02841013875809	4.255470717902892	4.835279284507158	5.199816283025109	1.9915655475183662	2.466198815204613	7.46535843096673	5.644374615719772
Arid4b	17.744930023311216	11.887947915582703	5.147876419048994	10.745266483763478	12.233866803597516	5.115382693558591	10.593982599049845	10.667189604259821	5.911521064211346	1.9354792151825033	11.582025894949417	7.531609966600582
Arid5a	67.22663398277953	44.52791916916726	53.806517493148036	62.60331202830434	73.01243483555199	68.60547293748132	56.735238975580685	43.300262447645885	78.77738111457552	67.44607183961011	62.60392055872327	35.070348281302316
Arid5b	29.668165386260313	22.84618527164853	16.900091030934615	26.615449534980947	28.027021104252803	11.780608194573002	34.61966280246567	31.74844763179692	14.965002183403708	11.883423009396726	23.130162213877526	16.23685705224441
Arih1	3.288305753759467	0.32168227246281594	0.7743769758054573	3.102243961360826	2.252414603442602	1.4042087868277724	2.8410131233609808	1.5747917040922017	0.700965024653233	1.5453387621802956	2.372883844539641	1.7915058963321024
Arih2	25.83309177305354	21.578413321452302	22.648031255954667	25.765194775815324	19.508111091256573	10.868664894230292	35.09294290318298	21.472023450002713	24.56905313080098	16.243004520631224	21.830897195657727	15.990497518073571
Arl1	48.44923564140022	62.17203018167428	31.63236123973649	44.975179682524804	41.17282119619605	28.754384884118025	73.70020779329806	46.091917457623	21.63152093658249	18.416620607637743	63.82205460333816	35.13113518452015
Arl10	242.17322322711323	332.10553192789655	410.463324418154	165.05779847675473	164.47008951019137	359.1126554955957	555.3782928048547	180.43402035889258	583.0136475867362	417.17280115092757	392.2242868279763	175.80893176233826
Arl11	3.6467923238584192	2.8295877439511337	1.6333508314853318	2.507071221583445	6.146219661019796	0	1.337739827576981	6.87962489087823	0	2.465706305310051	1.4620291460418569	7.611539872773209
Arl13a	4.557093656112227	6.961304949418592	4.294736631918281	7.669026229086568	6.040330727920482	6.916924307273851	2.925409235211689	11.04462354641272	8.76483940509566	10.399011179729296	5.480929393392998	10.039926762335444
Arl13b	4.068968188369114	1.2066654443646303	0.3603881146659295	1.1977645261192833	1.2330042034854325	0.08073835792379794	0.13418319890462688	1.035100461343796	0.8136710201515346	0	0.6158874139414442	3.6585376995471597
Arl14	0	0	0	2.2347999418587827	0	0	0	0	0	0	0	0
Arl14ep	0.6639737980845171	0.17172828013568145	1.784311349057107	0.1521546840102592	0.3730153744054626	0.9713771988808606	0.8118771377558148	1.0001142177341176	0.822419144326829	0	0.7098468709294581	0.1539819895824938
Arl14epl	0	0	0	0.10789744424130952	0	0	0	0	0.1393219117001495	0	0	0.27373844499606576
Arl15	6.029621400207328	4.440139424752429	3.8155517893102813	7.968122592115019	3.1194910509172913	1.418957624123101	4.227964838907804	2.646314721970511	1.9156950829898909	1.1931614839200375	3.1409950013489594	3.032823990276971
Arl16	220.45859978310847	252.5765012680622	404.081967808211	354.8079937353385	131.7843747540736	865.4346617305283	473.2012250339038	296.31971688794897	607.4804059873474	384.9987928633828	349.1529668824558	271.4313371797472
